TimeStamp,GBVibForward,GBVibLateral,GBVibVertical,addVibForward,addVibLateral,addVibVertical
2017/05/24_12:10:21.005,-1013.027,108.031,-6.832,0,,
2017/05/24_12:10:21.010,-1016.565,103.944,-6.649,0,,
2017/05/24_12:10:21.015,-1017.541,103.822,-11.346,0,,
2017/05/24_12:10:21.020,-1017.053,105.042,-6.771,0,,
2017/05/24_12:10:21.025,-1017.846,107.909,-11.346,0,,
2017/05/24_12:10:21.030,-1013.271,106.14,-5.734,0,,
2017/05/24_12:10:21.035,-1017.785,106.384,-8.479,0,,
2017/05/24_12:10:21.040,-1016.504,106.201,-7.808,0,,
2017/05/24_12:10:21.045,-1018.151,108.031,-8.052,0,,
2017/05/24_12:10:21.050,-1015.772,106.506,-4.758,0,,
2017/05/24_12:10:21.055,-1017.602,104.615,-12.566,0,,
2017/05/24_12:10:21.060,-1017.358,108.824,-7.808,0,,
2017/05/24_12:10:21.065,-1015.894,108.824,-8.784,0,,
2017/05/24_12:10:21.070,-1018.822,106.811,-8.052,0,,
2017/05/24_12:10:21.075,-1018.822,104.981,-5.429,0,,
2017/05/24_12:10:21.080,-1019.493,108.214,-6.527,0,,
2017/05/24_12:10:21.085,-1020.103,104.493,-8.113,0,,
2017/05/24_12:10:21.090,-1015.406,106.262,-9.028,0,,
2017/05/24_12:10:21.095,-1018.029,105.713,-4.819,0,,
2017/05/24_12:10:21.001,-1019.798,104.188,-7.503,0,,
2017/05/24_12:10:21.006,-1020.774,106.75,-8.418,0,,
2017/05/24_12:10:21.011,-1015.589,105.774,-7.442,0,,
2017/05/24_12:10:21.016,-1019.493,107.787,-7.137,0,,
2017/05/24_12:10:21.021,-1017.053,105.286,-7.442,0,,
2017/05/24_12:10:21.026,-1019.493,106.689,-4.392,0,,
2017/05/24_12:10:21.031,-1020.835,107.116,-7.259,0,,
2017/05/24_12:10:21.036,-1016.931,107.055,-8.052,0,,
2017/05/24_12:10:21.041,-1017.114,106.201,-7.991,0,,
2017/05/24_12:10:21.046,-1017.358,108.641,-9.699,0,,
2017/05/24_12:10:21.051,-1018.639,107.177,-8.174,0,,
2017/05/24_12:10:21.056,-1015.772,104.981,-6.893,0,,
2017/05/24_12:10:21.061,-1019.005,107.726,-9.699,0,,
2017/05/24_12:10:21.066,-1020.164,106.201,-5.673,0,,
2017/05/24_12:10:21.071,-1016.016,106.567,-6.954,0,,
2017/05/24_12:10:21.076,-1015.894,105.286,-7.137,0,,
2017/05/24_12:10:21.081,-1016.077,106.262,-10.248,0,,
2017/05/24_12:10:21.086,-1017.907,105.591,-6.771,0,,
2017/05/24_12:10:21.091,-1016.687,105.225,-8.113,0,,
2017/05/24_12:10:21.096,-1020.652,107.055,-6.71,0,,
2017/05/24_12:10:21.101,-1018.517,105.347,-8.479,0,,
2017/05/24_12:10:21.106,-1019.371,104.859,-8.845,0,,
2017/05/24_12:10:21.111,-1015.955,105.53,-6.039,0,,
