2.684000,12.749001
107443:977.708008,-2.623000,12.749001
107449:977.768982,-2.623000,12.749001
107454:977.768982,-2.562000,12.749001
107460:977.768982,-2.562000,12.749001
107465:977.768982,-2.562000,12.810000
107470:977.768982,-2.440000,12.810000
107476:977.768982,-2.379000,12.871000
107481:977.708008,-2.379000,12.810000
107486:977.708008,-2.318000,12.810000
107492:977.708008,-2.318000,12.749001
107497:977.708008,-2.318000,12.749001
107503:977.708008,-2.379000,12.749001
107508:977.768982,-2.379000,12.749001
107513:977.830017,-2.379000,12.749001
107519:977.768982,-2.379000,12.749001
107524:977.768982,-2.318000,12.749001
107530:977.708008,-2.318000,12.749001
107535:977.708008,-2.318000,12.749001
107540:977.647034,-2.318000,12.749001
107546:977.585999,-2.318000,12.688000
107551:977.647034,-2.318000,12.688000
107556:977.585999,-2.318000,12.688000
107562:977.463989,-2.318000,12.688000
107567:977.403015,-2.318000,12.749001
107573:977.403015,-2.318000,12.688000
107578:977.463989,-2.318000,12.688000
107583:977.403015,-2.379000,12.627000
107589:977.403015,-2.379000,12.627000
107594:977.403015,-2.379000,12.688000
107600:977.463989,-2.379000,12.688000
107605:977.463989,-2.379000,12.688000
107611:977.403015,-2.379000,12.627000
107616:977.403015,-2.440000,12.688000
107621:977.403015,-2.440000,12.688000
107627:977.403015,-2.440000,12.688000
107632:977.403015,-2.440000,12.749001
107638:977.463989,-2.440000,12.749001
107643:977.463989,-2.501000,12.749001
107648:977.463989,-2.562000,12.749001
107654:977.463989,-2.562000,12.810000
107659:977.403015,-2.562000,12.810000
107665:977.403015,-2.623000,12.749001
107670:977.463989,-2.623000,12.749001
107675:977.525024,-2.623000,12.749001
107681:977.525024,-2.684000,12.810000
107686:977.525024,-2.623000,12.810000
107692:977.463989,-2.623000,12.810000
107697:977.463989,-2.623000,12.871000
107702:977.463989,-2.623000,12.932000
107708:977.525024,-2.623000,12.932000
107713:977.585999,-2.623000,12.993000
107718:977.585999,-2.623000,12.993000
107724:977.585999,-2.623000,12.932000
107729:977.585999,-2.623000,12.871000
107735:977.585999,-2.623000,12.810000
107740:977.585999,-2.623000,12.810000
107745:977.647034,-2.684000,12.749001
107751:977.585999,-2.745000,12.749001
107756:977.585999,-2.745000,12.749001
107762:977.585999,-2.684000,12.749001
107767:977.647034,-2.684000,12.871000
107772:977.708008,-2.684000,12.932000
107778:977.708008,-2.684000,12.993000
107783:977.647034,-2.623000,12.932000
107788:977.525024,-2.623000,12.871000
107794:977.525024,-2.623000,12.871000
107799:977.525024,-2.562000,12.871000
107805:977.585999,-2.562000,12.871000
107810:977.525024,-2.623000,12.871000
107815:977.525024,-2.623000,12.871000
107821:977.525024,-2.684000,12.810000
107826:977.463989,-2.623000,12.810000
107832:977.463989,-2.623000,12.810000
107837:977.525024,-2.562000,12.871000
107842:977.525024,-2.562000,12.871000
107848:977.585999,-2.623000,12.932000
107853:977.585999,-2.684000,12.993000
107859:977.647034,-2.684000,12.932000
107864:977.647034,-2.623000,12.810000
107869:977.708008,-2.623000,12.810000
107875:977.768982,-2.562000,12.871000
107880:977.768982,-2.562000,12.871000
107886:977.768982,-2.562000,12.871000
107891:977.708008,-2.562000,12.871000
107896:977.708008,-2.562000,12.932000
107902:977.768982,-2.501000,12.932000
107907:977.708008,-2.501000,12.932000
107912:977.647034,-2.501000,12.932000
107918:977.647034,-2.562000,12.932000
107923:977.647034,-2.562000,12.932000
107929:977.647034,-2.562000,12.932000
107934:977.585999,-2.562000,12.932000
107939:977.647034,-2.562000,12.932000
107945:977.585999,-2.562000,12.932000
107950:977.647034,-2.501000,12.932000
107955:977.647034,-2.501000,12.932000
107961:977.647034,-2.440000,12.932000
107966:977.708008,-2.440000,12.932000
107972:977.708008,-2.440000,12.993000
107977:977.647034,-2.440000,12.993000
107982:977.647034,-2.440000,12.932000
107988:977.585999,-2.379000,12.932000
107993:977.585999,-2.379000,12.932000
107998:977.585999,-2.440000,12.871000
108004:977.525024,-2.440000,12.810000
108009:977.585999,-2.440000,12.810000
108015:977.585999,-2.379000,12.871000
108020:977.525024,-2.379000,12.871000
108025:977.585999,-2.379000,12.871000
108031:977.708008,-2.379000,12.810000
108036:977.768982,-2.379000,12.810000
108042:977.768982,-2.379000,12.871000
108047:977.768982,-2.379000,12.871000
108052:977.768982,-2.379000,12.932000
108058:977.768982,-2.379000,12.932000
108063:977.768982,-2.440000,12.932000
108069:977.768982,-2.501000,12.993000
108074:977.768982,-2.501000,12.993000
108079:977.768982,-2.501000,12.932000
108085:977.768982,-2.501000,12.871000
108090:977.830017,-2.501000,12.810000
108096:977.830017,-2.562000,12.810000
108101:977.768982,-2.562000,12.810000
108106:977.708008,-2.623000,12.810000
108112:977.708008,-2.684000,12.871000
108117:977.647034,-2.684000,12.810000
108122:977.647034,-2.623000,12.749001
108128:977.585999,-2.623000,12.749001
108133:977.585999,-2.623000,12.810000
108139:977.585999,-2.623000,12.871000
108144:977.647034,-2.623000,12.810000
108149:977.585999,-2.623000,12.810000
108155:977.647034,-2.684000,12.810000
108160:977.647034,-2.745000,12.810000
108166:977.708008,-2.745000,12.810000
108171:977.708008,-2.745000,12.810000
108176:977.768982,-2.745000,12.810000
108182:977.708008,-2.745000,12.810000
108187:977.768982,-2.806000,12.810000
108192:977.768982,-2.867000,12.871000
108198:977.768982,-2.928000,12.871000
108203:977.768982,-2.928000,12.932000
108209:977.768982,-2.928000,12.932000
108214:977.768982,-2.928000,12.932000
108219:977.768982,-2.928000,12.871000
108225:977.830017,-2.928000,12.932000
108230:977.830017,-2.928000,12.932000
108236:977.768982,-2.928000,12.932000
108241:977.830017,-2.867000,12.932000
108246:977.768982,-2.806000,12.993000
108252:977.768982,-2.806000,12.993000
108257:977.708008,-2.867000,12.993000
108263:977.768982,-2.867000,13.054000
108268:977.890991,-2.867000,13.054000
108273:977.830017,-2.867000,13.054000
108279:977.830017,-2.806000,13.054000
108284:977.830017,-2.806000,12.993000
108290:977.768982,-2.806000,12.993000
108295:977.768982,-2.806000,12.993000
108300:977.768982,-2.867000,12.993000
108306:977.830017,-2.806000,13.054000
108311:977.830017,-2.745000,12.993000
108317:977.830017,-2.684000,12.932000
108322:977.830017,-2.684000,12.932000
108327:977.768982,-2.623000,12.932000
108333:977.768982,-2.623000,12.871000
108338:977.708008,-2.562000,12.871000
108344:977.708008,-2.562000,12.932000
108349:977.708008,-2.562000,12.871000
108354:977.708008,-2.562000,12.932000
108360:977.708008,-2.501000,12.932000
108365:977.708008,-2.501000,12.932000
108370:977.708008,-2.501000,12.871000
108376:977.708008,-2.501000,12.932000
108381:977.708008,-2.501000,12.932000
108386:977.830017,-2.501000,12.932000
108392:977.890991,-2.440000,12.993000
108397:977.952026,-2.501000,12.993000
108403:978.013000,-2.501000,12.993000
108408:978.074036,-2.501000,12.993000
108413:978.013000,-2.562000,12.932000
108419:977.952026,-2.623000,12.871000
108424:977.952026,-2.623000,12.932000
108430:978.013000,-2.623000,12.993000
108435:978.013000,-2.623000,12.932000
108440:978.013000,-2.623000,12.932000
108446:977.952026,-2.562000,12.932000
108451:977.890991,-2.562000,12.871000
108456:977.890991,-2.562000,12.810000
108462:977.890991,-2.501000,12.810000
108467:977.830017,-2.501000,12.810000
108473:977.830017,-2.562000,12.810000
108478:977.830017,-2.501000,12.810000
108483:977.830017,-2.501000,12.749001
108489:977.768982,-2.501000,12.749001
108494:977.768982,-2.501000,12.749001
108500:977.708008,-2.562000,12.688000
108505:977.708008,-2.623000,12.688000
108510:977.768982,-2.562000,12.688000
108516:977.768982,-2.562000,12.627000
108521:977.830017,-2.562000,12.627000
108527:977.830017,-2.562000,12.627000
108532:977.830017,-2.501000,12.566000
108537:977.830017,-2.501000,12.505000
108543:977.768982,-2.501000,12.505000
108548:977.768982,-2.562000,12.566000
108554:977.708008,-2.562000,12.566000
108559:977.708008,-2.562000,12.566000
108564:977.708008,-2.623000,12.566000
108570:977.708008,-2.623000,12.627000
108575:977.647034,-2.623000,12.627000
108580:977.647034,-2.745000,12.627000
108586:977.647034,-2.745000,12.688000
108591:977.647034,-2.745000,12.688000
108597:977.647034,-2.684000,12.688000
108602:977.647034,-2.684000,12.688000
108607:977.647034,-2.684000,12.688000
108613:977.585999,-2.623000,12.688000
108618:977.647034,-2.623000,12.810000
108624:977.708008,-2.623000,12.749001
108629:977.768982,-2.623000,12.627000
108634:977.768982,-2.623000,12.627000
108640:977.768982,-2.623000,12.749001
108645:977.830017,-2.623000,12.749001
108651:977.890991,-2.623000,12.749001
108656:977.830017,-2.684000,12.749001
108661:977.830017,-2.684000,12.749001
108667:977.830017,-2.684000,12.749001
108672:977.830017,-2.684000,12.810000
108678:977.768982,-2.684000,12.932000
108683:977.768982,-2.623000,12.932000
108688:977.768982,-2.562000,12.993000
108694:977.768982,-2.623000,13.054000
108699:977.708008,-2.623000,13.115000
108705:977.768982,-2.623000,13.054000
108710:977.768982,-2.623000,12.993000
108715:977.768982,-2.623000,12.932000
108721:977.768982,-2.623000,12.810000
108726:977.830017,-2.623000,12.810000
108731:977.768982,-2.623000,12.871000
108737:977.708008,-2.562000,12.871000
108742:977.708008,-2.562000,12.810000
108748:977.708008,-2.501000,12.810000
108753:977.708008,-2.562000,12.810000
108758:977.708008,-2.562000,12.810000
108764:977.768982,-2.501000,12.810000
108769:977.830017,-2.501000,12.871000
108775:977.890991,-2.562000,12.932000
108780:977.830017,-2.501000,12.932000
108785:977.830017,-2.501000,12.871000
108791:977.830017,-2.501000,12.810000
108796:977.830017,-2.501000,12.871000
108801:977.830017,-2.562000,12.871000
108807:977.768982,-2.501000,12.871000
108812:977.768982,-2.501000,12.871000
108818:977.768982,-2.501000,12.810000
108823:977.708008,-2.379000,12.749001
108828:977.708008,-2.379000,12.749001
108834:977.708008,-2.379000,12.749001
108839:977.647034,-2.379000,12.749001
108845:977.708008,-2.379000,12.749001
108850:977.708008,-2.379000,12.871000
108855:977.768982,-2.379000,12.871000
108861:977.768982,-2.440000,12.993000
108866:977.768982,-2.501000,13.054000
108872:977.708008,-2.501000,12.993000
108877:977.768982,-2.501000,12.932000
108882:977.768982,-2.501000,12.932000
108888:977.830017,-2.562000,12.932000
108893:977.830017,-2.623000,12.871000
108898:977.830017,-2.684000,12.932000
108904:977.708008,-2.745000,12.993000
108909:977.708008,-2.745000,12.871000
108915:977.708008,-2.684000,12.810000
108920:977.708008,-2.623000,12.810000
108925:977.708008,-2.562000,12.871000
108931:977.830017,-2.440000,12.810000
108936:977.830017,-2.318000,12.810000
108941:977.830017,-2.135000,12.871000
108947:977.830017,-2.135000,12.871000
108952:977.830017,-2.135000,12.810000
108958:977.708008,-2.196000,12.871000
108963:977.708008,-2.318000,12.993000
108968:977.708008,-2.379000,12.993000
108974:977.708008,-2.440000,12.993000
108979:977.708008,-2.440000,13.115000
108985:977.708008,-2.501000,13.115000
108990:977.708008,-2.562000,13.054000
108995:977.708008,-2.623000,13.054000
109001:977.708008,-2.623000,13.054000
109006:977.768982,-2.623000,13.054000
109011:977.768982,-2.562000,13.054000
109017:977.768982,-2.501000,13.054000
109022:977.768982,-2.379000,12.993000
109028:977.768982,-2.440000,12.993000
109033:977.768982,-2.440000,12.993000
109038:977.708008,-2.440000,12.993000
109044:977.708008,-2.501000,12.993000
109049:977.768982,-2.562000,12.993000
109055:977.830017,-2.623000,12.993000
109060:977.830017,-2.684000,12.932000
109065:977.830017,-2.684000,12.871000
109071:977.830017,-2.745000,12.810000
109076:977.830017,-2.745000,12.749001
109082:977.768982,-2.745000,12.688000
109087:977.708008,-2.684000,12.688000
109092:977.768982,-2.684000,12.688000
109098:977.768982,-2.623000,12.627000
109103:977.768982,-2.623000,12.688000
109109:977.708008,-2.623000,12.688000
109114:977.708008,-2.623000,12.749001
109119:977.708008,-2.623000,12.810000
109125:977.647034,-2.684000,12.810000
109130:977.708008,-2.684000,12.810000
109135:977.647034,-2.745000,12.871000
109141:977.647034,-2.806000,12.871000
109146:977.647034,-2.806000,12.871000
109152:977.708008,-2.806000,12.871000
109157:977.708008,-2.745000,12.871000
109162:977.647034,-2.745000,12.932000
109168:977.647034,-2.684000,12.993000
109173:977.647034,-2.623000,12.993000
109179:977.708008,-2.562000,12.993000
109184:977.768982,-2.501000,12.993000
109189:977.890991,-2.501000,13.054000
109195:977.952026,-2.501000,13.054000
109200:977.890991,-2.501000,13.054000
109206:977.890991,-2.501000,13.054000
109211:977.890991,-2.562000,13.054000
109216:977.952026,-2.623000,12.993000
109222:977.890991,-2.623000,13.054000
109227:977.890991,-2.684000,13.054000
109233:977.952026,-2.623000,13.054000
109238:977.890991,-2.623000,12.993000
109243:977.830017,-2.562000,12.932000
109249:977.768982,-2.562000,12.871000
109254:977.830017,-2.501000,12.932000
109260:977.830017,-2.440000,12.932000
109265:977.830017,-2.440000,12.871000
109270:977.890991,-2.440000,12.871000
109276:977.890991,-2.440000,12.932000
109281:977.830017,-2.379000,12.993000
109286:977.830017,-2.440000,13.054000
109292:977.830017,-2.440000,13.054000
109297:977.768982,-2.440000,13.054000
109303:977.708008,-2.501000,13.054000
109308:977.708008,-2.501000,12.993000
109313:977.768982,-2.562000,13.054000
109319:977.768982,-2.562000,13.054000
109324:977.768982,-2.501000,12.993000
109330:977.830017,-2.501000,12.993000
109335:977.830017,-2.501000,12.932000
109340:977.890991,-2.501000,12.932000
109346:977.890991,-2.440000,12.932000
109351:977.890991,-2.440000,12.932000
109357:977.890991,-2.501000,12.871000
109362:977.890991,-2.501000,12.871000
109367:977.890991,-2.562000,12.932000
109373:977.890991,-2.623000,12.993000
109378:977.830017,-2.623000,12.993000
109384:977.830017,-2.623000,12.932000
109389:977.830017,-2.684000,12.932000
109394:977.830017,-2.684000,12.932000
109400:977.830017,-2.684000,12.871000
109405:977.890991,-2.684000,12.871000
109410:977.830017,-2.684000,12.871000
109416:977.830017,-2.684000,12.932000
109421:977.890991,-2.684000,12.932000
109427:977.830017,-2.623000,12.993000
109432:977.768982,-2.623000,12.993000
109437:977.830017,-2.562000,12.993000
109443:977.830017,-2.562000,12.993000
109448:977.830017,-2.562000,12.932000
109454:977.830017,-2.623000,12.993000
109459:977.768982,-2.684000,12.932000
109464:977.768982,-2.745000,12.871000
109470:977.768982,-2.745000,12.871000
109475:977.830017,-2.745000,12.810000
109480:977.830017,-2.745000,12.749001
109486:977.830017,-2.745000,12.749001
109491:977.830017,-2.745000,12.749001
109497:977.890991,-2.745000,12.688000
109502:977.890991,-2.684000,12.688000
109507:977.890991,-2.684000,12.688000
109513:977.890991,-2.684000,12.688000
109518:977.890991,-2.623000,12.688000
109524:977.890991,-2.623000,12.688000
109529:977.830017,-2.623000,12.688000
109534:977.768982,-2.623000,12.749001
109540:977.768982,-2.623000,12.749001
109545:977.708008,-2.684000,12.688000
109551:977.708008,-2.684000,12.688000
109556:977.708008,-2.684000,12.627000
109561:977.647034,-2.684000,12.688000
109567:977.647034,-2.684000,12.749001
109572:977.708008,-2.684000,12.810000
109578:977.647034,-2.623000,12.810000
109583:977.647034,-2.623000,12.810000
109588:977.708008,-2.562000,12.749001
109594:977.768982,-2.501000,12.749001
109599:977.890991,-2.440000,12.749001
109604:977.890991,-2.379000,12.810000
109610:977.890991,-2.379000,12.810000
109615:977.890991,-2.379000,12.688000
109621:977.890991,-2.379000,12.627000
109626:977.952026,-2.440000,12.627000
109632:977.952026,-2.501000,12.566000
109637:977.952026,-2.501000,12.566000
109642:977.952026,-2.562000,12.566000
109648:977.952026,-2.501000,12.566000
109653:977.890991,-2.562000,12.566000
109659:977.890991,-2.562000,12.566000
109664:977.890991,-2.623000,12.566000
109669:977.952026,-2.623000,12.627000
109675:977.952026,-2.562000,12.627000
109680:977.890991,-2.501000,12.688000
109686:977.890991,-2.440000,12.688000
109691:977.890991,-2.379000,12.688000
109697:977.890991,-2.318000,12.749001
109702:977.830017,-2.318000,12.749001
109707:977.830017,-2.318000,12.810000
109713:977.830017,-2.318000,12.810000
109718:977.830017,-2.318000,12.871000
109723:977.830017,-2.318000,12.871000
109729:977.830017,-2.318000,12.810000
109734:977.768982,-2.379000,12.810000
109740:977.768982,-2.379000,12.810000
109745:977.768982,-2.440000,12.749001
109750:977.830017,-2.501000,12.749001
109756:977.830017,-2.501000,12.749001
109761:977.768982,-2.501000,12.688000
109767:977.708008,-2.440000,12.627000
109772:977.708008,-2.501000,12.627000
109777:977.708008,-2.501000,12.688000
109783:977.708008,-2.501000,12.688000
109788:977.708008,-2.440000,12.688000
109794:977.708008,-2.440000,12.688000
109799:977.708008,-2.440000,12.688000
109804:977.768982,-2.440000,12.688000
109810:977.768982,-2.440000,12.688000
109815:977.708008,-2.440000,12.688000
109820:977.708008,-2.440000,12.688000
109826:977.768982,-2.379000,12.688000
109831:977.768982,-2.379000,12.627000
109837:977.768982,-2.379000,12.627000
109842:977.768982,-2.379000,12.688000
109848:977.768982,-2.440000,12.688000
109853:977.890991,-2.440000,12.688000
109858:977.890991,-2.440000,12.688000
109864:977.890991,-2.501000,12.749001
109869:977.890991,-2.501000,12.810000
109875:977.890991,-2.501000,12.749001
109880:977.952026,-2.501000,12.749001
109885:977.952026,-2.562000,12.688000
109891:977.952026,-2.562000,12.688000
109896:977.952026,-2.562000,12.749001
109902:977.952026,-2.562000,12.688000
109907:977.952026,-2.623000,12.688000
109912:977.952026,-2.684000,12.688000
109918:978.013000,-2.623000,12.627000
109923:978.013000,-2.623000,12.627000
109929:977.890991,-2.623000,12.566000
109934:977.890991,-2.623000,12.566000
109939:977.830017,-2.623000,12.505000
109945:977.830017,-2.623000,12.444000
109950:977.768982,-2.623000,12.444000
109956:977.768982,-2.623000,12.444000
109961:977.768982,-2.562000,12.505000
109966:977.768982,-2.623000,12.627000
109972:977.768982,-2.562000,12.688000
109977:977.830017,-2.623000,12.688000
109982:977.768982,-2.623000,12.688000
109988:977.768982,-2.623000,12.749001
109993:977.768982,-2.562000,12.749001
109999:977.768982,-2.501000,12.810000
110004:977.768982,-2.562000,12.810000
110009:977.768982,-2.562000,12.810000
110015:977.830017,-2.562000,12.810000
110020:977.890991,-2.562000,12.871000
110026:977.890991,-2.562000,12.932000
110031:977.890991,-2.562000,12.871000
110036:977.890991,-2.501000,12.871000
110042:977.890991,-2.501000,12.871000
110047:977.890991,-2.501000,12.810000
110053:977.890991,-2.501000,12.810000
110058:977.830017,-2.562000,12.749001
110063:977.830017,-2.623000,12.749001
110069:977.830017,-2.623000,12.749001
110074:977.830017,-2.684000,12.749001
110080:977.830017,-2.745000,12.749001
110085:977.830017,-2.745000,12.810000
110090:977.830017,-2.745000,12.810000
110096:977.830017,-2.745000,12.810000
110101:977.830017,-2.684000,12.810000
110106:977.830017,-2.684000,12.810000
110112:977.830017,-2.684000,12.810000
110117:977.768982,-2.623000,12.810000
110123:977.768982,-2.562000,12.871000
110128:977.708008,-2.501000,12.871000
110133:977.708008,-2.501000,12.810000
110139:977.768982,-2.440000,12.871000
110144:977.830017,-2.440000,12.871000
110150:977.830017,-2.440000,12.871000
110155:977.830017,-2.440000,12.871000
110160:977.768982,-2.501000,12.871000
110166:977.768982,-2.501000,12.871000
110171:977.768982,-2.501000,12.871000
110176:977.708008,-2.501000,12.871000
110182:977.768982,-2.562000,12.871000
110187:977.830017,-2.562000,12.932000
110193:977.768982,-2.562000,12.871000
110198:977.830017,-2.501000,12.749001
110203:977.830017,-2.501000,12.749001
110209:977.768982,-2.440000,12.749001
110214:977.830017,-2.440000,12.749001
110220:977.830017,-2.379000,12.810000
110225:977.830017,-2.379000,12.810000
110230:977.768982,-2.318000,12.749001
110236:977.830017,-2.318000,12.688000
110241:977.768982,-2.379000,12.688000
110247:977.768982,-2.379000,12.627000
110252:977.768982,-2.440000,12.627000
110257:977.768982,-2.440000,12.627000
110263:977.768982,-2.501000,12.627000
110268:977.830017,-2.562000,12.627000
110274:977.768982,-2.623000,12.688000
110279:977.708008,-2.623000,12.749001
110284:977.708008,-2.562000,12.749001
110290:977.768982,-2.440000,12.749001
110295:977.830017,-2.379000,12.688000
110301:977.830017,-2.379000,12.688000
110306:977.890991,-2.379000,12.688000
110311:977.830017,-2.379000,12.627000
110317:977.890991,-2.379000,12.627000
110322:977.830017,-2.501000,12.627000
110328:977.830017,-2.562000,12.627000
110333:977.830017,-2.562000,12.627000
110338:977.890991,-2.623000,12.627000
110344:977.890991,-2.623000,12.627000
110349:977.952026,-2.623000,12.688000
110355:977.890991,-2.562000,12.688000
110360:977.830017,-2.562000,12.810000
110365:977.890991,-2.623000,12.810000
110371:977.952026,-2.623000,12.810000
110376:978.013000,-2.623000,12.871000
110382:978.013000,-2.623000,12.932000
110387:978.013000,-2.623000,12.993000
110392:978.013000,-2.623000,12.993000
110398:978.013000,-2.623000,12.993000
110403:977.830017,-2.562000,13.054000
110409:977.768982,-2.623000,13.054000
110414:977.830017,-2.684000,13.054000
110419:977.830017,-2.745000,12.993000
110425:977.830017,-2.745000,12.932000
110430:977.830017,-2.684000,12.932000
110436:977.830017,-2.684000,12.871000
110441:977.768982,-2.745000,12.810000
110446:977.768982,-2.684000,12.810000
110452:977.708008,-2.684000,12.810000
110457:977.708008,-2.623000,12.810000
110462:977.647034,-2.623000,12.810000
110468:977.708008,-2.562000,12.871000
110473:977.708008,-2.562000,12.871000
110479:977.708008,-2.562000,12.871000
110484:977.708008,-2.562000,12.871000
110489:977.768982,-2.562000,12.932000
110495:977.768982,-2.623000,12.932000
110500:977.830017,-2.623000,12.932000
110505:977.830017,-2.623000,12.871000
110511:977.890991,-2.623000,12.871000
110516:977.830017,-2.623000,12.810000
110522:977.830017,-2.623000,12.810000
110527:977.830017,-2.623000,12.810000
110532:977.830017,-2.562000,12.810000
110538:977.830017,-2.562000,12.871000
