TimeStamp,GBVibForward,GBVibLateral,GBVibVertical,addVibForward,addVibLateral,addVibVertical
2017/05/24_12:02:54.005,-43.371,42.883,997.838,,,
2017/05/24_12:02:54.010,-45.75,36.173,992.714,,,
2017/05/24_12:02:54.015,-54.046,31.964,989.481,,,
2017/05/24_12:02:54.020,-48.861,25.193,1008.147,,,
2017/05/24_12:02:54.025,-53.314,34.038,1020.53,,,
2017/05/24_12:02:54.030,-44.469,28.975,996.74,,,
2017/05/24_12:02:54.035,-48.007,35.99,984.174,,,
2017/05/24_12:02:54.040,-40.748,44.652,992.897,,,
2017/05/24_12:02:54.045,-37.027,49.166,1005.341,,,
2017/05/24_12:02:54.050,-38.735,48.19,1001.986,,,
2017/05/24_12:02:54.055,-38.003,42.761,996.435,,,
2017/05/24_12:02:54.060,-49.41,39.04,996.618,,,
2017/05/24_12:02:54.065,-45.75,45.628,1016.321,,,
2017/05/24_12:02:54.070,-41.602,45.018,996.618,,,
2017/05/24_12:02:54.075,-50.691,32.818,988.871,,,
2017/05/24_12:02:54.080,-46.97,35.624,1014.43,,,
2017/05/24_12:02:54.085,-51.667,33.733,1002.352,,,
2017/05/24_12:02:54.090,-41.236,33.184,984.601,,,
2017/05/24_12:02:54.095,-44.103,34.221,991.738,,,
2017/05/24_12:02:54.001,-47.702,34.282,991.372,,,
2017/05/24_12:02:54.006,-38.186,35.563,1003.45,,,
2017/05/24_12:02:54.011,-40.809,40.748,1003.267,,,
2017/05/24_12:02:54.016,-41.297,30.561,992.226,,,
2017/05/24_12:02:54.021,-41.297,47.824,995.337,,,
2017/05/24_12:02:54.026,-45.506,41.236,1004.792,,,
2017/05/24_12:02:54.031,-43.493,34.343,1005.402,,,
2017/05/24_12:02:54.036,-41.907,38.064,993.446,,,
2017/05/24_12:02:54.041,-35.563,44.408,992.409,,,
2017/05/24_12:02:54.046,-34.77,37.698,987.895,,,
2017/05/24_12:02:54.051,-48.739,46.604,1006.683,,,
2017/05/24_12:02:54.056,-47.641,46.299,1009.855,,,
2017/05/24_12:02:54.061,-43.737,38.308,1005.158,,,
2017/05/24_12:02:54.066,-43.371,37.881,1000.766,,,
2017/05/24_12:02:54.071,-42.395,34.831,995.825,,,
2017/05/24_12:02:54.076,-39.589,40.199,990.274,,,
2017/05/24_12:02:54.081,-32.025,41.236,997.472,,,
2017/05/24_12:02:54.086,-51.606,33.672,999.485,,,
2017/05/24_12:02:54.091,-54.107,40.748,1008.452,,,
2017/05/24_12:02:54.096,-49.532,37.881,1001.742,,,
2017/05/24_12:02:54.101,-43.798,38.674,996.679,,,
2017/05/24_12:02:54.106,-43.188,41.785,997.716,,,
2017/05/24_12:02:54.111,-48.922,46.177,1005.829,,,
2017/05/24_12:02:54.116,-40.809,38.308,1004.121,,,
2017/05/24_12:02:54.121,-46.116,38.064,994.117,,,
2017/05/24_12:02:54.126,-44.164,38.125,995.886,,,
2017/05/24_12:02:54.131,-42.883,39.345,999.546,,,
2017/05/24_12:02:54.136,-45.14,48.495,996.13,,,
2017/05/24_12:02:54.141,-40.931,41.846,991.433,,,
2017/05/24_12:02:54.146,-44.652,33.855,997.96,,,
2017/05/24_12:02:54.151,-43.615,41.114,1004.487,,,
2017/05/24_12:02:54.156,-44.042,44.469,998.265,,,
2017/05/24_12:02:54.161,-45.384,36.6,1005.402,,,
2017/05/24_12:02:54.166,-45.14,34.099,993.446,,,
2017/05/24_12:02:54.171,-46.299,36.356,997.838,,,
2017/05/24_12:02:54.176,-47.702,37.759,999.424,,,
2017/05/24_12:02:54.181,-43.188,36.295,983.015,,,
2017/05/24_12:02:54.186,-41.358,44.652,989.42,,,
2017/05/24_12:02:54.191,-44.652,45.079,1013.271,,,
2017/05/24_12:02:54.196,-43.859,47.397,1003.938,,,
2017/05/24_12:02:54.201,-49.837,36.539,985.089,,,
2017/05/24_12:02:54.206,-46.36,47.336,1000.217,,,
2017/05/24_12:02:54.211,-61.183,36.417,1009.916,,,
2017/05/24_12:02:54.216,-42.7,45.14,1013.881,,,
2017/05/24_12:02:54.221,-42.212,38.918,991.189,,,
2017/05/24_12:02:54.226,-36.295,45.872,992.775,,,
2017/05/24_12:02:54.231,-40.87,36.478,989.237,,,
2017/05/24_12:02:54.236,-41.602,44.896,1005.036,,,
2017/05/24_12:02:54.241,-42.456,36.417,989.725,,,
2017/05/24_12:02:54.246,-47.946,42.456,992.836,,,
2017/05/24_12:02:54.251,-46.604,35.075,1000.217,,,
2017/05/24_12:02:54.256,-44.408,34.221,1001.62,,,
2017/05/24_12:02:54.261,-41.053,38.796,991.311,,,
2017/05/24_12:02:54.266,-44.408,40.138,1000.888,,,
2017/05/24_12:02:54.271,-47.275,30.073,999.363,,,
2017/05/24_12:02:54.276,-44.774,33.794,1004.121,,,
2017/05/24_12:02:54.281,-44.103,34.343,988.871,,,
2017/05/24_12:02:54.286,-41.663,37.332,996.801,,,
2017/05/24_12:02:54.291,-34.77,38.613,992.409,,,
2017/05/24_12:02:54.296,-44.957,41.358,997.045,,,
2017/05/24_12:02:54.301,-44.713,45.933,1001.681,,,
2017/05/24_12:02:54.306,-46.116,47.58,995.032,,,
2017/05/24_12:02:54.311,-39.345,49.349,1003.511,,,
2017/05/24_12:02:54.316,-44.469,46.604,1000.217,,,
2017/05/24_12:02:54.321,-40.87,41.114,993.812,,,
2017/05/24_12:02:54.326,-40.016,30.866,995.154,,,
2017/05/24_12:02:54.331,-46.482,30.683,994.056,,,
2017/05/24_12:02:54.336,-46.665,24.339,991.982,,,
2017/05/24_12:02:54.341,-40.138,38.918,997.472,,,
2017/05/24_12:02:54.346,-34.892,34.099,1005.951,,,
2017/05/24_12:02:54.351,-56.486,34.404,1016.565,,,
2017/05/24_12:02:54.356,-48.861,32.879,1008.635,,,
2017/05/24_12:02:54.361,-43.798,40.077,995.398,,,
2017/05/24_12:02:54.366,-46.36,37.881,992.165,,,
2017/05/24_12:02:54.371,-41.663,39.04,998.936,,,
2017/05/24_12:02:54.376,-50.142,39.772,1006.683,,,
2017/05/24_12:02:54.381,-48.861,35.075,990.884,,,
2017/05/24_12:02:54.386,-45.933,40.992,996.313,,,
2017/05/24_12:02:54.391,-52.094,40.016,997.289,,,
2017/05/24_12:02:54.396,-33.855,39.101,1003.145,,,
2017/05/24_12:02:54.401,-49.349,42.517,1002.84,,,
2017/05/24_12:02:54.406,-53.558,38.308,1014.369,,,
2017/05/24_12:02:54.411,-43.31,33.733,1000.461,,,
2017/05/24_12:02:54.416,-38.491,35.319,987.59,,,
2017/05/24_12:02:54.421,-45.018,35.075,996.557,,,
2017/05/24_12:02:54.426,-43.31,36.783,1004.487,,,
2017/05/24_12:02:54.431,-45.628,37.088,997.167,,,
2017/05/24_12:02:54.436,-45.506,35.624,991.311,,,
2017/05/24_12:02:54.441,-44.652,42.273,996.252,,,
2017/05/24_12:02:54.446,-45.994,39.04,1003.023,,,
2017/05/24_12:02:54.451,-44.042,48.007,1004.609,,,
2017/05/24_12:02:54.456,-43.92,37.942,990.396,,,
2017/05/24_12:02:54.461,-45.14,36.6,1008.086,,,
2017/05/24_12:02:54.466,-44.286,33.611,999.851,,,
2017/05/24_12:02:54.471,-51.484,36.173,994.91,,,
